name_of_settlements,id,Foundation_year
סגולה,2046,1953
סואעד (חמרייה)*,942,
סואעד (כמאנה) (שבט),989,
סולם,526,
סוסיה,3756,1983
סופה,1238,1975
סח'נין,7500,
סייד (שבט),1170,
סלמה,1245,
סלעית,3567,1977
סמר,1156,1976
סנסנה,3777,2013
סעד,419,1947
סעוה,1360,
סער,454,1948
ספיר,1176,1979
סתרייה,610,1949
ע'ג'ר,4501,
עבדון,892,1952
עברון,376,1945
עגור,794,1950
עד הלום,1762,
עדי,1199,1980
עדנים,2035,1950
עוזה,826,1950
עוזייר,528,
עולש,737,1949
עומר,666,1949
עופר,810,1950
עוצם,32,1955
עוקבי (בנו עוקבה) (שבט),957,
עזוז,328,1984
עזר,1149,1966
עזריאל,837,1951
עזריה,711,1949
עזריקם,817,1950
עטאוונה (שבט),969,
עטרת,3658,1981
עידן,1175,1980
עידן הנגב,1765,
עיילבון,530,
עיינות,156,1930
עילוט,511,
עין איילה,687,1949
עין אל-אסד,546,
עין גב,273,1937
עין גדי,2042,1953
עין דור,436,1948
עין הבשור,1240,1982
עין הוד,74,1954
עין החורש,167,1931
עין המפרץ,289,1938
"עין הנצי""ב",383,1946
עין העמק,367,1944
עין השופט,270,1937
עין השלושה,676,1950
עין ורד,157,1930
עין זיוון,4503,1968
עין חוד,1320,
עין חצבה,1053,
עין חרוד (איחוד),89,1921
עין חרוד (מאוחד),82,1921
עין יהב,806,1951
עין יעקב,813,1950
"עין כרם-בי""ס חקלאי",1056,1952
עין כרמל,426,1947
עין מאהל,532,
עין נקובא,521,
עין עירון,223,1934
עין צורים,622,1949
עין קנייא,4502,
עין ראפה,514,
עין שמר,139,1927
עין שריד,880,1950
עין תמר,1251,1982
עינת,871,1925
עיר אובות,1187,
עכו,7600,1948
עלומים,1146,1966
עלי,3765,1984
עלי זהב,3727,1982
עלמה,688,1949
עלמון,3715,1982
עמוקה,1212,1980
עמיחי,3824,2018
עמינדב,779,1950
עמיעד,385,1946
עמיעוז,318,1957
עמיקם,773,1950
עמיר,319,1939
עמנואל,3660,1983
"עמק בית שאן מ""א 7",1824,
"עמק בית שאן של""ש",1825,
"עמק חולה מ""א 1",1806,
"עמק חולה מ""א 55",1807,
"עמק חולה של""ש",1808,
"עמק חפר מזרח מ""א 16",1875,
"עמק חרוד מ""א 8",1826,
"עמק חרוד של""ש",1827,
"עמק יזרעאל מ""א 13",1834,
"עמק יזרעאל מ""א 8",1832,
"עמק יזרעאל מ""א 9",1833,
עמקה,708,1949
ענב,3712,1981
עספיא,534,
עפולה,7700,1925
עפרה,3617,1975
עץ אפרים,3778,1985
עצמון שגב,917,1953
עראבה,531,
עראמשה*,1246,
ערב אל נעים,1335,
ערד,2560,1961
ערוגות,593,1949
ערערה,637,
ערערה-בנגב,1192,
עשרת,591,1954
עתלית,53,1904
עתניאל,3748,1983
פארן,1151,1972
"פארק הירדן מ""א 6",1961,
פארק תעשיות ספירים,1763,
פארק תעשיות עמק חפר,1745,
פדואל,3768,1984
פדויים,750,1950
פדיה,838,1951
פוריידיס,537,
פורייה - כפר עבודה,1104,1949
פורייה - נווה עובד,1105,1949
פורייה עילית,1313,1955
פורת,767,1950
פטיש,749,1950
פלך,1185,1980
פלמחים,597,1949
פני חבר,3723,1982
פסגות,3659,1981
פסוטה,535,
"פעמי תש""ז",2059,1953
פצאל,3615,1975
פקיעין (בוקייעה),536,
פקיעין חדשה,281,1955
פרדס חנה-כרכור,7800,1913
פרדסייה,171,1942
פרוד,599,1949
פרזון,2053,1953
פרי גן,1231,1981
פתח תקווה,7900,1878
פתחיה,839,1951
צאלים,413,1947
צביה,1180,1979
צבעון,1213,1980
צובה,465,1948
צוחר,1136,1973
צופייה,1111,
צופים,3791,1989
צופית,198,1933
צופר,1150,1970
צוקי ים,1102,1956
צוקים,1262,1983
צור הדסה,1113,1960
צור יצחק,1345,2007
צור משה,276,1937
צור נתן,1148,1970
צוריאל,774,1950
צורית,1221,1981
ציפורי,613,1949
צלפון,796,1950
צנדלה,636,
צפרייה,594,1949
צפרירים,1079,1958
צפת,8000,ותיק
צרופה,612,1949
צרעה,567,1948
קבועה (שבט),1234,
קבוצת יבנה,334,1941
קדומים,3557,1977
קדימה-צורן,195,1933
קדמה,392,
קדמת צבי,4025,1985
קדר,3781,1985
קדרון,615,1949
קדרים,1211,1980
קודייראת א-צאנע (שבט),964,
קוואעין (שבט),972,
קוממיות,766,1950
קורנית,1179,1982
קטורה,1052,1970
קיסריה,1167,1977
קלחים,414,1954
קליה,3601,1968
קלנסווה,638,
קלע,4024,1984
קציר,1243,1982
קצר א-סר,1347,
קצרין,4100,1977
קריית אונו,2620,1939
קריית ארבע,3611,1972
קריית אתא,6800,1925
קריית ביאליק,9500,1934
קריית גת,2630,1954
קריית חינוך מרחבים*,1768,
קריית טבעון,2300,1937
קריית ים,9600,1941
קריית יערים,1137,1975
קריית יערים (מוסד),2039,1952
קריית מוצקין,8200,1934
קריית מלאכי,1034,1951
קריית נטפים,3746,1983
קריית ענבים,78,1920
קריית עקרון,469,1948
קריית שלמה,412,1945
קריית שמונה,2800,1950
קרית חינוך עזתה,1766,
קרית תעופה,1746,
קרני שומרון,3640,1978
קשת,4006,1974
ראמה,543,
ראס אל-עין,1334,
ראס עלי,990,
ראש העין,2640,1950
ראש פינה,26,1882
ראש צורים,3602,1969
ראשון לציון,8300,1882
רבבה,3795,1991
רבדים,564,1948
רביבים,354,1943
רביד,1225,1981
רגבה,390,1946
רגבים,444,1948
רהט,1161,
רווחה,2051,1953
רוויה,2016,1952
רוח מדבר,1341,
רוחמה,362,1944
רומאנה,539,
רומת הייב,997,
רועי,3619,1976
רותם,3782,1983
רחוב,854,1951
רחובות,8400,1890
רחלים,3822,2013
ריחאנייה,540,
ריחן,3568,1977
ריינה,542,
רימונים,3565,1977
רינתיה,616,1949
רכסים,922,1957
רם-און,1069,1960
רמות,4702,1970
רמות השבים,206,1933
רמות מאיר,735,1949
רמות מנשה,445,1948
רמות נפתלי,372,1945
רמלה,8500,1948
רמת גן,8600,1921
רמת דוד,135,1926
רמת הכובש,184,1932
רמת השופט,335,1941
רמת השרון,2650,1923
רמת יוחנן,178,1932
רמת ישי,122,1925
"רמת כוכב מ""א 7",1828,
"רמת כוכב מ""א 8",1829,
"רמת כוכב מ""א 9",1830,
"רמת כוכב של""ש",1831,
רמת מגשימים,4701,1968
"רמת מנשה מ""א 13",1837,
"רמת מנשה של""ש",1838,
רמת צבי,339,1942
רמת רזיאל,460,1948
רמת רחל,127,1926
רנן,789,1950
רעים,713,1949
רעננה,8700,1921
רקפת,1228,1981
רשפון,247,1936
רשפים,437,1948
רתמים,1260,1983
שאר ישוב,324,1940
שבי דרום,1377,2017
שבי ציון,282,1938
שבי שומרון,3571,1977
שבלי - אום אל-גנם,913,
שגב-שלום,1286,
שדה אילן,721,1949
שדה אליהו,304,1939
שדה אליעזר,861,1952
שדה בוקר,885,1952
שדה דוד,36,1955
שדה ורבורג,284,1938
שדה יואב,293,1956
שדה יעקב,142,1927
שדה יצחק,2008,1952
שדה משה,18,1956
שדה נחום,259,1937
שדה נחמיה,329,1940
שדה ניצן,1058,1973
שדה עוזיהו,739,1950
שדה צבי,2049,1953
שדות ים,327,1940
שדות מיכה,27,1955
שדי אברהם,1223,1981
שדי חמד,2015,1952
שדי תרומות,2057,1951
שדמה,555,1954
שדמות דבורה,306,1939
שדמות מחולה,3578,1979
שדרות,1031,1951
שואבה,741,1950
שובה,761,1950
שובל,394,1946
שוהם,1304,1993
שומרה,614,1949
שומרייה,1265,1984
שוקדה,415,1957
שורש,456,1948
שורשים,1235,1985
שושנת העמקים,224,1951
שזור,527,1953
שחר,7,1955
שחרות,1266,1985
שיבולים,865,1952
שיזף,1378,2021
שיטים,1267,
שייח' דנון,658,
שילה,3641,1979
שילת,1165,1977
שכניה,1160,1980
שלווה,873,1952
שלווה במדבר,1373,
שלוחות,439,1948
שלומי,812,1950
שלומית,1364,2011
שלומציון,1793,
שמיר,366,1944
שמעה,3784,1985
שמרת,432,1948
שמשית,1337,2000
שני,1287,1989
שניר,1132,1967
שעב,538,
שעל,4009,1976
שעלבים,856,1951
שער אפרים,661,1953
שער הגולן,264,1937
שער העמקים,237,1935
שער מנשה,921,1949
שערי תקווה,3720,1983
שפיים,232,1935
שפיר,692,1949
"שפלת יהודה מ""א 26",1803,
"שפלת יהודה של""ש",1804,
שפר,846,1950
שפרעם,8800,
שקד,3649,1981
שקף,1233,1982
שרונה,292,1938
שריגים (לי-און),1114,1960
שריד,126,1926
שרשרת,398,1951
שתולה,1045,1969
שתולים,763,1950
תאשור,2062,1953
תדהר,2061,1953
תובל,1172,1980
תומר,3558,1978
תושייה,1083,1958
תימורים,163,1954
תירוש,10,1955
תל אביב -יפו,5000,1909
תל חי (מכללה),1707,
תל יוסף,84,1921
תל יצחק,287,1938
תל מונד,154,1929
תל עדשים,103,1923
תל קציר,719,1949
תל שבע,1054,
תל תאומים,1283,1987
תלם,3719,1982
תלמי אליהו,1051,1970
תלמי אלעזר,2003,1952
"תלמי ביל""ו",2050,1953
תלמי יוסף,1237,1982
תלמי יחיאל,727,1949
תלמי יפה,744,1950
תלמים,814,1950
תמרת,1244,1983
תנובות,2002,1952
תעוז,752,1950
תעשיון בינימין*,1744,
תעשיון דלתון,1709,
תעשיון השרון,1741,
תעשיון חבל יבנה,1750,
תעשיון חצב*,1742,
תעשיון מבצע*,1754,
תעשיון מיתרים,1794,
תעשיון צריפין,1749,
תעשיון ראם*,1755,
"תעשיון שח""ק",1792,
תעשיות גליל תחתון,1714,
תפרח,709,1949
תקומה,665,1949
תקוע,3563,1977
תראבין א-צאנע (שבט),970,
תרבין א-צאנע (יישוב)*,1346,
תרום,778,1950
